Sample_Name	Run	source_name	rnaextract	subcellular_fraction	LibraryLayout	readtype	sequencing_center
GSM758560	SRR307899,SRR307900	GM12878	longPolyA	cytosol	PAIRED	2x76D	CSHL
GSM758565	SRR307909,SRR307910	HUVEC	longPolyA	nucleus	PAIRED	2x76D	CSHL
GSM758568	SRR307915,SRR307916	HepG2	longPolyA	nucleus	PAIRED	2x76D	CSHL
GSM758569	SRR307917,SRR307918	HUVEC	longPolyA	cytosol	PAIRED	2x76D	CSHL
GSM758570	SRR307919	H1-hESC	longPolyA	cytosol	PAIRED	2x76D	CSHL
GSM758574	SRR307925	H1-hESC	longPolyA	nucleus	PAIRED	2x76D	CSHL
GSM758576	SRR307928,SRR307929	HepG2	longPolyA	cytosol	PAIRED	2x76D	CSHL
GSM765386	SRR315297,SRR315298	GM12878	longPolyA	nucleus	PAIRED	2x76D	CSHL
GSM765387	SRR315299,SRR315300	K562	longPolyA	nucleus	PAIRED	2x76D	CSHL
GSM765390	SRR315305,SRR315306	K562	total	nucleoplasm	PAIRED	2x76D	CSHL
GSM765392	SRR315309,SRR315310	K562	total	chromatin	PAIRED	2x76D	CSHL
GSM765393	SRR315311,SRR315312	K562	total	nucleolus	PAIRED	2x76D	CSHL
GSM765399	SRR315323,SRR315324	NHEK	longPolyA	nucleus	PAIRED	2x76D	CSHL
GSM765400	SRR315325,SRR315326	NHEK	longPolyA	cytosol	PAIRED	2x76D	CSHL
GSM765403	SRR315332,SRR315333	HeLa-S3	longPolyA	nucleus	PAIRED	2x76D	CSHL
GSM765404	SRR315334,SRR315335	HeLa-S3	longPolyA	cytosol	PAIRED	2x76D	CSHL
GSM767838	SRR317035	HeLa-S3	longNonPolyA	cytosol	PAIRED	2x76D	CSHL
GSM767839	SRR317036	HUVEC	longNonPolyA	cytosol	PAIRED	2x76D	CSHL
GSM767840	SRR317037,SRR317038	HepG2	longNonPolyA	cytosol	PAIRED	2x76D	CSHL
GSM767841	SRR317039	H1-hESC	longNonPolyA	nucleus	PAIRED	2x76D	CSHL
GSM767842	SRR317040	H1-hESC	longNonPolyA	cytosol	PAIRED	2x76D	CSHL
GSM767843	SRR317041	NHEK	longNonPolyA	cytosol	PAIRED	2x76D	CSHL
GSM767844	SRR317042,SRR317043	K562	longNonPolyA	nucleus	PAIRED	2x76D	CSHL
GSM767846	SRR317046,SRR317047	NHEK	longNonPolyA	nucleus	PAIRED	2x76D	CSHL
GSM767848	SRR317050,SRR317051	HeLa-S3	longNonPolyA	nucleus	PAIRED	2x76D	CSHL
GSM767849	SRR317052,SRR317053	K562	longNonPolyA	cytosol	PAIRED	2x76D	CSHL
GSM767850	SRR317054,SRR317055	HepG2	longNonPolyA	nucleus	PAIRED	2x76D	CSHL
GSM767852	SRR317058,SRR317059	GM12878	longNonPolyA	cytosol	PAIRED	2x76D	CSHL
GSM767853	SRR317060,SRR317061	GM12878	longNonPolyA	nucleus	PAIRED	2x76D	CSHL
GSM767857	SRR317068,SRR317069	HUVEC	longNonPolyA	nucleus	PAIRED	2x76D	CSHL
GSM840137	SRR387661,SRR387662	K562	longPolyA	cytosol	PAIRED	2x76D	CSHL
GSM981244	SRR534291,SRR534292	IMR90	longPolyA	cytosol	PAIRED	2x101D	CSHL
GSM981245	SRR534293,SRR534294	MCF-7	longPolyA	nucleus	PAIRED	2x101D	CSHL
GSM981246	SRR534295,SRR534296	A549	longPolyA	cytosol	PAIRED	2x101D	CSHL
GSM981247	SRR534297,SRR534298	A549	longPolyA	nucleus	PAIRED	2x101D	CSHL
GSM981248	SRR534299,SRR534300	IMR90	longPolyA	nucleus	PAIRED	2x101D	CSHL
GSM981250	SRR534303,SRR534304	SK-N-SH	longPolyA	nucleus	PAIRED	2x101D	CSHL
GSM981251	SRR534305,SRR534306	SK-N-SH	longPolyA	cytosol	PAIRED	2x101D	CSHL
GSM981252	SRR534307,SRR534308	MCF-7	longPolyA	cytosol	PAIRED	2x101D	CSHL
GSM984605	SRR545687,SRR545688	GM12878	total	nucleolus	PAIRED	2x101D	CSHL
