Sample_Name	Run	source_name	rnaextract	subcellular_fraction	LibraryLayout	readtype	sequencing_center
GSM758559	SRR307897,SRR307898	GM12878	longPolyA	cell	PAIRED	2x76D	CSHL
GSM758563	SRR307905,SRR307906	HUVEC	longPolyA	cell	PAIRED	2x76D	CSHL
GSM758564	SRR307907,SRR307908	A549	longPolyA	cell	PAIRED	2x76D	CSHL
GSM758566	SRR307911,SRR307912	H1-hESC	longPolyA	cell	PAIRED	2x76D	CSHL
GSM758567	SRR307913,SRR307914	HepG2	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM758572	SRR307921,SRR307922	GM12878	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM758573	SRR307923,SRR307924	H1-hESC	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM758575	SRR307926,SRR307927	HepG2	longPolyA	cell	PAIRED	2x76D	CSHL
GSM758577	SRR307930,SRR307931	K562	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM765388	SRR315301,SRR315302	MCF-7	longPolyA	cell	PAIRED	2x76D	CSHL
GSM765398	SRR315320,SRR315321,SRR315322	NHEK	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM765401	SRR315327,SRR315328,SRR315329	NHEK	longPolyA	cell	PAIRED	2x76D	CSHL
GSM765402	SRR315330,SRR315331	HeLa-S3	longPolyA	cell	PAIRED	2x76D	CSHL
GSM765405	SRR315336,SRR315337	K562	longPolyA	cell	PAIRED	2x76D	CSHL
GSM767847	SRR317048,SRR317049	HeLa-S3	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM767851	SRR317056,SRR317057	MCF-7	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM767854	SRR317062,SRR317063	A549	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM767856	SRR317066,SRR317067	HUVEC	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM958730	SRR521466,SRR521467	GM12878	longPolyA	cell	SINGLE	1x75D	CALTECH
GSM958731	SRR521468,SRR534174,SRR534175	K562	longPolyA	cell	SINGLE	1x75D	CALTECH
GSM958737	SRR521501,SRR521502	H1-hESC	longPolyA	cell	SINGLE	1x75D	CALTECH
GSM958738	SRR521503,SRR521504	HUVEC	longPolyA	cell	SINGLE	1x75D	CALTECH
GSM958739	SRR521505,SRR521506	HeLa-S3	longPolyA	cell	SINGLE	1x75D	CALTECH
GSM958740	SRR521507,SRR521508	HepG2	longPolyA	cell	SINGLE	1x75D	CALTECH
GSM958741	SRR521509	NHEK	longPolyA	cell	SINGLE	1x75D	CALTECH
GSM958728	SRR521447,SRR521448,SRR521449,SRR521450,SRR521451,SRR521452,SRR521453,SRR521454,SRR521455,SRR521456	GM12878	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958729	SRR521457,SRR521458,SRR521459,SRR521460,SRR521461,SRR521462,SRR521463,SRR521464,SRR521465	K562	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958732	SRR521470,SRR521471,SRR521472,SRR521473,SRR521474,SRR521475,SRR521476	HepG2	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958733	SRR521477,SRR521478,SRR521479,SRR521480,SRR521481,SRR521482,SRR521483,SRR521484	H1-hESC	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958734	SRR521485,SRR521486,SRR521487,SRR521488,SRR521489	HUVEC	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958735	SRR521490,SRR521491,SRR521492,SRR521493,SRR521494,SRR521495	HeLa-S3	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958736	SRR521496,SRR521497,SRR521498,SRR521499,SRR521500	NHEK	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958742	SRR521510,SRR521511,SRR521512	GM12878	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958743	SRR521513,SRR521514,SRR521515	H1-hESC	longPolyA	cell	PAIRED	2x75	CALTECH
GSM958745	SRR521520,SRR521521,SRR521522,SRR521523,SRR521524,SRR521525,SRR521526	MCF-7	longPolyA	cell	PAIRED	2x75	CALTECH
GSM840136	SRR768413,SRR768414	K562	total	cell	PAIRED		CSHL
GSM840138	SRR768411,SRR768412	GM12878	total	cell	PAIRED		CSHL
GSM981243	SRR534289,SRR534290	IMR90	total	cell	PAIRED	2x101D	CSHL
GSM981249	SRR534301,SRR534302	IMR90	longPolyA	cell	PAIRED	2x101D	CSHL
GSM981253	SRR534309,SRR534310	SK-N-SH	longPolyA	cell	PAIRED	2x101D	CSHL
GSM981254	SRR534311,SRR534312,SRR534313,SRR534314,SRR534315,SRR534316	CD20+	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM981256	SRR534319,SRR534320,SRR534321,SRR534322,SRR534323,SRR534324	CD20+	longPolyA	cell	PAIRED	2x76D	CSHL
GSM981259	SRR534328,SRR534329,SRR534330,SRR534331,SRR534332,SRR534333	Monocytes-CD14+	longNonPolyA	cell	PAIRED	2x76D	CSHL
GSM984609	SRR545695,SRR545696,SRR545697,SRR545698,SRR545699,SRR545700	Monocytes-CD14+	longPolyA	cell	PAIRED	2x76D	CSHL
